NotificacionObservable: Tipo: Motion con valor=false} con prioridad: Alta
Co: 0.004955939; humidity: 51.0; light: false; lpg: 0.007650822; motion: false; smoke: 0.02041127; fecha: Tue May 25 15:05:00 ECT 2021
Co: 0.004970256; humidity: 50.9; light: false; lpg: 0.007666805; motion: false; smoke: 0.02045682; fecha: Fri Apr 02 05:04:00 ECT 2021
Co: 0.004971645; humidity: 50.9; light: false; lpg: 0.007668355; motion: false; smoke: 0.020461238; fecha: Tue Apr 06 17:04:00 ECT 2021
Co: 0.004964565; humidity: 50.9; light: false; lpg: 0.007660453; motion: false; smoke: 0.020438717; fecha: Sat Mar 06 15:03:00 ECT 2021
Co: 0.004975983; humidity: 50.9; light: false; lpg: 0.007673195; motion: false; smoke: 0.020475034; fecha: Sat May 22 07:05:00 ECT 2021
Co: 0.004960209; humidity: 50.9; light: false; lpg: 0.00765559; motion: false; smoke: 0.020424858; fecha: Tue Mar 30 18:03:00 ECT 2021
Co: 0.004956119; humidity: 50.9; light: false; lpg: 0.007651024; motion: false; smoke: 0.020411845; fecha: Tue Mar 23 16:03:00 ECT 2021
Co: 0.00497454; humidity: 50.9; light: false; lpg: 0.007671585; motion: false; smoke: 0.020470444; fecha: Fri Jun 25 06:06:00 ECT 2021
Co: 0.004946006; humidity: 50.9; light: false; lpg: 0.007639727; motion: false; smoke: 0.020379652; fecha: Tue Apr 20 14:04:00 ECT 2021
Co: 0.004984649; humidity: 51.0; light: false; lpg: 0.00768286; motion: false; smoke: 0.020502582; fecha: Thu Apr 22 19:04:00 ECT 2021
Co: 0.004926209; humidity: 50.8; light: false; lpg: 0.007617594; motion: false; smoke: 0.020316591; fecha: Fri Jul 09 22:07:00 ECT 2021
Co: 0.004964565; humidity: 50.8; light: false; lpg: 0.007660453; motion: false; smoke: 0.020438717; fecha: Thu Jul 15 19:07:00 ECT 2021
Co: 0.004976012; humidity: 50.9; light: false; lpg: 0.007673227; motion: false; smoke: 0.020475126; fecha: Fri Jun 18 03:06:00 ECT 2021
Co: 0.004965923; humidity: 51.0; light: false; lpg: 0.007661969; motion: false; smoke: 0.020443038; fecha: Tue May 11 23:05:00 ECT 2021
Co: 0.004980273; humidity: 51.0; light: false; lpg: 0.00767798; motion: false; smoke: 0.020488672; fecha: Mon Feb 22 14:02:00 ECT 2021
Co: 0.004943183; humidity: 51.0; light: false; lpg: 0.007636572; motion: false; smoke: 0.020370662; fecha: Thu Mar 11 11:03:00 ECT 2021
Co: 0.004967364; humidity: 51.0; light: false; lpg: 0.007663577; motion: false; smoke: 0.020447621; fecha: Wed Mar 10 09:03:00 ECT 2021
Co: 0.005000431; humidity: 50.9; light: false; lpg: 0.007700449; motion: false; smoke: 0.020552724; fecha: Sat Jun 19 17:06:00 ECT 2021
Co: 0.004943235; humidity: 51.0; light: false; lpg: 0.00763663; motion: false; smoke: 0.020370828; fecha: Tue Apr 20 15:04:00 ECT 2021
Co: 0.004990367; humidity: 51.0; light: false; lpg: 0.007689234; motion: false; smoke: 0.020520753; fecha: Tue Mar 16 09:03:00 ECT 2021
Co: 0.005039661; humidity: 51.0; light: false; lpg: 0.007744104; motion: false; smoke: 0.020677211; fecha: Tue Jun 15 14:06:00 ECT 2021
Co: 0.004980273; humidity: 51.0; light: false; lpg: 0.00767798; motion: false; smoke: 0.020488672; fecha: Mon Jun 14 09:06:00 ECT 2021
Co: 0.004981719; humidity: 51.0; light: false; lpg: 0.007679592; motion: false; smoke: 0.020493267; fecha: Wed Mar 24 21:03:00 ECT 2021
Co: 0.004987503; humidity: 51.0; light: false; lpg: 0.007686042; motion: false; smoke: 0.020511652; fecha: Thu Apr 01 02:04:00 ECT 2021
Co: 0.004966005; humidity: 51.1; light: false; lpg: 0.007662061; motion: false; smoke: 0.020443298; fecha: Wed Jul 21 16:07:00 ECT 2021
Co: 0.005006199; humidity: 51.0; light: false; lpg: 0.007706873; motion: false; smoke: 0.02057104; fecha: Fri Apr 23 06:04:00 ECT 2021
Co: 0.004990367; humidity: 51.1; light: false; lpg: 0.007689234; motion: false; smoke: 0.020520753; fecha: Wed May 05 10:05:00 ECT 2021
Co: 0.004997519; humidity: 51.1; light: false; lpg: 0.007697204; motion: false; smoke: 0.020543474; fecha: Fri Mar 12 18:03:00 ECT 2021
Co: 0.004981719; humidity: 51.1; light: false; lpg: 0.007679592; motion: false; smoke: 0.020493267; fecha: Wed Apr 21 02:04:00 ECT 2021
Co: 0.004961647; humidity: 51.1; light: false; lpg: 0.007657197; motion: false; smoke: 0.020429436; fecha: Thu Apr 22 08:04:00 ECT 2021
Co: 0.005000431; humidity: 50.9; light: false; lpg: 0.007700449; motion: false; smoke: 0.020552724; fecha: Wed Apr 07 13:04:00 ECT 2021
